"maTin","loai","tinhThanhPho","diaChi","giaCa","dienTich","ngayDangTin","ngayHetHan","moTa","matTienM","duongVaoM","soTang","soPhongNgu","soPhongTam","noiThat","tienIchKemTheo","dacDiemXaHoi","phapLy","duongpho","duAn","huongNha","huongBanCong"
"509964","Nhà mặt phố","Ba Đình, Hà Nội","ba đình","1,79 Tỷ","94 m²","01/09/2020","16/10/2020","Bán gấp nhà Giang Văn Minh, ô tô, nhà mới đẹp 94m 17 tỉ có tl. Lh 0855011086
+ Nhà 4 tầng cực đẹp toàn bộ nội thất nhập khẩu long lanh, cửa gỗ óc chó khoá từ sam sung sử dụng vân tay, sàn ốp gỗ thịt, thiết bị vệ sinh cao cấp chính hãng TÔT... Nhà cực chắc chắn đẹp long lanh, móng chắc chắn lên tầng thoải mái.
- Tầng 1: Phòng khách + gara.
- Tầng 2: 2 phòng ngủ (1 phòng to + 1 phòng nhỏ) + vệ sinh.
- Tầng 3: 3 phòng ngủ đẹp + vệ sinh khép kín.
- Tầng 3: Phòng thờ + sân phơi đồ.
+ Nhà kinh doanh cho tây thuê ở giá nhấp nhất phải 35 triệu/tháng.
+ Sổ đỏ chính chủ vuông vắn, pháp lý sạch.

+ Mọi thông tin xin liên hệ Anh Sương chuyên mặt phố 0855011086",,,"4","4","4",,,,,"Giang Văn Minh",,,
"509963","Nhà riêng","Hoàng Mai, Hà Nội","Hoàng Mai, Hà Nội","3,6 Tỷ","50 m²","01/09/2020","16/10/2020","- Nhà phố Tam Chinh, Hoàng Mai ngay cầu Mai Động giao thông cực kì thuận tiện
- Vài bước ra mặt phố Tam Trinh, ngõ thẳng không quanh, đường xe 3 gác vào đến tận nhà.
- Khu vực đang phát triển mạnh, gần Time City, gần trường học các cấp…..
* Nhà thiết kế 4 tầng, 50m2, mặt tiền 4.8m, thông thoáng trước sau.
-Tầng 1: phòng khách, bếp và Wc.
-Tầng 2,3: mỗi tầng 2 phòng ngủ ( 1 to - 1 nhỏ) và wc xen giữa.
-Tầng 4: phòng thờ và sân phơi.
*Sổ đỏ chính chủ nở hậu đẹp.
- Giá chỉ 3,6 tỷ ( có thương lượng )
Quan tâm liên hệ em Việt theo số 0965-378-170 để gặp trực tiếp chủ nhà/ hỗ trợ pháp lý, tư vấn và xem nhà miễn phí
",,,,,,,,,,,,,
"509961","Nhà riêng","Đại Kim, Hoàng Mai, Hà Nội","Kim Giang, Đại Kim, Hoàng Mai, Hà Nội","5,19 Tỷ","43 m²","01/09/2020","16/10/2020","- Diện tích 43m2, nhà 4 tầng, mặt tiền 4m- Nhà khung cột bê tông chắc chắn, thiết kế hợp lý, nội thất cơ bản đầy đủ. Thiết kế mỗi tầng 2 phòng, tổng 3 phòng ngủ rộng.- Vị trí quá đẹp, ngõ rộng hơn phố, trước nhà 3 làn ô tô tránh, kinh doanh sầm uất mọi loại hình, ngõ thông tứ phía.- Khu dân trí cao, gần khu đô thị, chợ trường học các cấp đầy đủ.- Sổ đỏ chính chủ vuông đẹp, sẵn sàng giao dịchGIÁ 5.19 tỷ (có thương lượng)Liên hệ THU HUYỀN để xem nhà và gặp chủ",,,"4","3","3",,,,,"Kim Giang",,,
"509960","Nhà riêng","Bồ Đề, Long Biên, Hà Nội","Nguyễn Văn Cừ, Bồ Đề, Long Biên, Hà Nội.","6,4 Tỷ","75 m²","01/09/2020","16/10/2020","NHÀ ĐẸP, Ô TÔ, GẦN PHỐ, NGÕ THÔNG BỒ ĐỀ - MÃ SỐ 3008A8.
+ Nhà chủ tự xây để ở, nội thất đẹp, sân vườn thoáng mát. Ô tô vào tận nhà.
+ Cách cầu Chương Dương 100m, cách Mipec Long Biên 100m. Sang Hoàn Kiếm chưa đầy 10 phút.
+ Sổ đỏ đẹp, sẵn sàng giao dịch.
LIÊN HỆ NGAY MS.VUI ĐỂ XEM MÀ TV TÌM MUA NHÀ MIỄN PHÍ.",,,"4","4","4",,,,,"Nguyễn Văn Cừ",,,
"509959","Nhà riêng","Đại Kim, Hoàng Mai, Hà Nội","Đại từ, Hoành Mai, Hà Nội","2,5 Tỷ","34 m²","01/09/2020","16/10/2020","AN CƯ ĐỈNH - NHÀ NGAY CHỢ ĐẠI TỪ - HỒ LINH ĐÀM - 5 TẦNG, 34M2, GIÁ CHỈ 2.5 TỶ( CÓ THƯƠNG LƯỢNG) THÔNG TIN CHÍNH XÁC 99%- Vị trí nhà quá đẹp, giáp hồ Linh Đàm và chợ Đại Từ được tận hưởng vô vàn tiện ích xung quanh, thuận tiện cho việc vui chơi giải trí, tập thể dục thể thao. 5 phút ra bến Nước Ngầm, 7 phút ra bến xe Giáp Bát, sát AEON Giáp Bát nằm trên đường Đại Từ chuẩn bị xây dựng.- Nhà đẹp về ở luôn ko cần sửa chữa, 3 PN, 1 Phòng khách và nhà bếp, tầng 5 PT và sân phơi.- Chủ cần tiền gấp để đầu tư kinh doanh nên bán nhanh, khách thiện chí sẽ bớt thêm.Xem nhà miễn phí LH:0977.897.533",,,"5","3","4",,,,,"Đại Từ",,,
"509957","Nhà rẻ","Hoàn Kiếm, Hà Nội","Phố Hàng Gà, Phường Cửa Đông, Quận Hoàn Kiếm Thành Phố Hà Nội.","18,8 Tỷ","25 m²","01/09/2020","16/10/2020","Bán Gấp nhà mặt phố Hàng Gà, Hoàn Kiếm, Hà Nội. Diện tích 25m, 4 tầng, Giá thỏa thuận. Vị trí lô góc, nhà chắc chắn, mới đẹp. Vị trí kinh doanh đỉnh. Phù hợp với nhiều loại hình kinh doanh. Phân khúc nhỏ tiền. Hiếm nhà bán. Liên hệ xem nhà trực tiếp. 0963911687. Miễn trung gian.",,,"4","2","3",,,,,"Hàng Gà",,,
"509955","Căn hộ Tập thể","Cầu Giấy, Hà Nội","Cầu Giấy, Hà Nội","1,33 Tỷ","80 m²","01/09/2020","16/10/2020","Cần Bán gấp Tập thể Hoàng Quốc Việt giá 1.33 tỷ, DT 80m2, ở luôn

Do thay đổi nhu cầu sử dụng nên muốn bán căn hộ tập thể Hoàng Quốc Việt, Cầu Giấy
Diện tích sử dụng thực tế 80m2. Gồm 3 ngủ, 2 vệ sinh. Hướng Bắc mát mẻ
Ngõ rộng hai ô tô tránh nhau thoải mái, ô tô đỗ chân cầu thang, sổ đỏ chính chủ, căn hộ thoáng mát, để lại 02 điều hòa, bình nóng lạnh, tầng 1 có khu vui chơi cho trẻ em, gần chợ, trường học, bệnh viện...
Pháp lí: SĐCC, công chứng sang tên nhanh chóng
Bán 1.33 tỷ, LH A. Thắng: 0888358855",,,,,,,,,"Sổ đỏ",,,,
"509952","Nhà riêng","Thành Công, Ba Đình, Hà Nội","Láng Hạ, Thành Công, Ba Đình, Hà Nội","1,7 Tỷ","58 m²","01/09/2020","16/10/2020","Bán căn hộ tập thể nhà máy Cao su đường sắt, ngõ 29 Láng Hạ
CHTT nhà máy cao su Đường Sắt, ngõ 29 Láng Hạ, Ba Đình, Hà Nội cần bán Nhanh.
Căn tầng 1 (nhà khu này chỉ có 2 tầng ). Nội thất Đã cải tạo lại đẹp
DTSD: 58m2. (Gồm: 2 phòng ngủ, 1 phòng khách,1 bếp, 1 WC)
Giá : 1.7 tỉ
Nhà ở đầu ngõ 29 Láng Hạ - Gần trung tâm chiếu phim quốc gia. Giao thông đi lại thuận tiện.
LH: Thắng - 0888358855",,,,,,,,,,"Láng Hạ",,,
"509951","Nhà riêng","Khương Đình, Thanh Xuân, Hà Nội","Th��ợng Đình, Khương Đình, Thanh Xuân, Hà Nội","4,63 Tỷ","34 m²","01/09/2020","16/10/2020","Bán nhà hiem 27 Tô Vĩnh Diện,Thanh Xuân 34m2, 6 Tầng, 4.63tỷ.
+ Vị trí: Phân lô VIP quân đội, rất gần phố Tô Vĩnh Diện, đường trước nhà ô tô qua.
+ Nhà 6 tầng chủ xây để ở nên tâm huyết lắm, đẹp lung linh, ô tô đỗ trước cửa, thiết kế mỗi tầng 1 phòng, cầu thang + wc cuối nhà.
+ Tầng 1 để xe, bếp, bàn ăn.
+ Tầng 2: Phòng khách.

- Tầng 3: Phòng ngủ, từ tầng 4 trở lên đang còn mới nguyên, chủ chưa hề sử dụng, nội thất sịn, cầu thang, cửa làm bằng gỗ lim.
- Mặt tiền 3.6M
- Giá: 4.63tỷ.
Miễn phí môi giới và trung gian..! Khẩn nhanh tay kẻo hết
Liên hệ Ms Đào Hạnh Đống Đa: 0983076399 Tư vấn nhiệt tình, trực tiếp xem nhà.
Em đang có rất nhiều căn nhà với nhiều phân khúc khác nhau tại Đống Đa, Hà Nội",,,,,,"Trần thả","Hồ bơi","Gần công viên,Khu dân trí cao","Sổ đỏ","Thượng Đình",,,
"509949","Nhà riêng","Hoàng Mai, Hà Nội","Hoàng Mai, Hà Nội","3,68 Tỷ","50 m²","01/09/2020","16/10/2020","* Mô tả:
- Nhà sân cổng riêng, ba gác đỗ cửa. Vài bước ra đường ô tô, cách mặt phố 60-70m.
- Diện tích 50m2, xây dựng 5 tầng thiết kế tân cổ điển cực kì đẹp.
* Thiết kế còn mới và chắc chắn, thiết kế rất hợp lý. Có khe thoánh phía sau.
+ Tầng 1: sân để xe, phòng khách, bếp, vệ sinh
+ Tầng 2,3,4: mỗi tầng 2 phòng, vệ sinh
+ Tầng 5: sân phơi, phòng thờ
*Vị trí:
- Đi bộ 2 phút ra hồ Đền Lừ thể dục thể thao, cách bến xe Giáp Bát 500m, xung quanh bán kính 500m đầy đủ chợ, siêu thị, trường học, bến xe...thuận tiện giao thông các tuyến phố Nguyễn Đức Cảnh, Tân Mai, Trương Định, Đền Lừ, Nguyễn An Ninh..
- Sổ đỏ chính chủ, sẵn sàng giao dịch
- Giá chỉ 3,68 tỷ ( có thương lượng )
Quan tâm liên hệ em Việt theo số 0965-378-170 để gặp trực tiếp chủ nhà/ hỗ trợ pháp lý, tư vấn và xem nhà miễn phí.
",,,,,,,,,,,,,
"509946","Nhà riêng","Hà Đông, Hà Nội","Hà Đông, Hà Nội","6,9 Tỷ","69 m²","01/09/2020","16/10/2020","NHÀ SIÊU ĐẸP - KIẾN HƯNG - HÀ ĐÔNG - Ô TÔ TRÁNH - VỈA HÈ RỘNG

+ Nhà 69m2, 5 tầng đẹp, mặt tiền 5m ( Ảnh Thật ) chủ tâm huyết xây dựng, nay cần tiền nên muốn bán gấp.

+ Đường ô tô tải tránh nhau, có vỉa hè.

+ Nhà thoáng trước, thoáng sau.

+ Thiết kế mỗi tầng 2 phòng ngủ.

+ Nhà gần nhiều khu tiện ích xung quanh như trường học, siêu thị lớn, cách Viện K 1km, Học Viện Quân Y và Viện 103 1,5 km. Gần đường 70, Phùng Hưng, KĐT Văn Phú.

Liên hệ Mr Đoàn 0983286662 để xem nhà và mua nhà.
Hà ĐôngHà Nội",,,,,,,,,"Sổ đỏ",,,,
"509943","Căn hộ Cao cấp","Mỹ Đình 1, Nam Từ Liêm, Hà Nội","Phạm Hùng, Mỹ Đình 1, Nam Từ Liêm, Hà Nội","2,75 Tỷ","96 m²","01/09/2020","16/10/2020","FLC COMPLEX 36 PHẠM HÙNG - LÔ GÓC - TẦNG CAO - FULL NỘI THẤT
Căn hộ chung cư FLC Complex 36 Phạm Hùng giá 2.75 tỷ

Mô tả:
+ Diện tích thông thủy 96.7m2
+ Lô góc
+ Thiết kế 3PN - 2WC, toàn bộ các phòng ngủ đều có ánh sáng tự nhiên.
+ Nội thất: Full nội thất gồm 3 điều hòa trong 3 PN, ghế sofa, kệ tivi, giường tủ tròn phòng ngủ, tủ bếp, bình nóng lạnh, bàn ghế ăn.
+ Sổ đỏ nằm trong két sẵn sàng giao dịch.
",,,,,,,,,,"Phạm Hùng","FLC Complex 36 Phạm Hùng",,
"509929","Nhà riêng","Ba Đình, Hà Nội","Ba Đình","10,8 Tỷ","68 m²","01/09/2020","16/10/2020","Chủ nhà cần bán gấp định cư nước ngoài.
Nhà 3 tầng diện tích 68m, mặt tiền 5,5m, giá 10,8 tỷ.
Vị trí ; Nằm ở trung tâm Thành phố, ngã tư các phố lớn như Liễu Giai, Thụy Khuê, Đội Cấn,Hoàng Hoa Thám
Khu vực Vip Nhất quận Ba Đình, Trung tâm cửa ngõ của Thành phố.
Tiện lợi gần các Bệnh viện lớn như 354, Xanhpon, trung tâm Thương Mại Lotte, Đài truyền hình Vn..
P/s: Miễn môi giới...",,,"3","5","3",,,,,"Văn Cao",,,
"509924","Nhà riêng","Bạch Đằng, Hai Bà Trưng, Hà Nội","Nguyễn Khoái, Bạch Đằng, Hai Bà Trưng, Hà Nội","4 Tỷ","39 m²","01/09/2020","16/10/2020","Nhà Phố Nguyễn Khoái, Ôtô, Kinh Doanh, Dòng Tiền Cao: 0902976565

+ Diện Tích 39m2, nhưng thực tế lấn ra đến 50m2, nhà 4 tầng, mặt tiền 3.2m, giá 4 tỷ. Hướng Đông Bắc (TTT)
+ Nhà mặt ngõ 4.5m to hơn nhiều mặt phố, xe tải chạy ầm ầm, 2 xe tránh nhau thoải mái.
+ Từ cầu Vĩnh Tuy, đi qua đường Vĩnh Hưng 200m là đến. nếu sửa sang có thể để ôtô vào nhà, hoặc tự kinh doanh cũng rất tốt.
+ Nhà ngay cạnh chợ, gần trường học, khu T&T Reviewer đều đi chợ này.
+ Nhà thoáng trước sau, đằng trước còn có ban công
- Nhà thiết kế tầng 2 phòng ngủ + WC ở giữa.
- Tầng 1: Phòng ngủ, Bếp.
- Tầng 2: Phòng khách + Phòng ngủ
- Tầng 3: 2 Phòng ngủ
- Tầng 4: Phòng thờ + Sân phơi

Quý khách quan tâm vui lòng liên hệ: 0902976565.
(Tư vấn, xem nhà, pháp lý, ngân hàng tất cả đều Miễn Phí)
",,,,,,,,,,"Nguyễn Khoái",,,
"509914","Nhà riêng","Nghĩa Đô, Cầu Giấy, Hà Nội","Võ Chí Công","12 Tỷ","70 m²","01/09/2020","16/10/2020","KHU VÍP TÂY HỒ - 2 MẶT THOÁNG - 7 TẦNG THANG MÁY – PHÂN LÔ Ô TÔ TRÁNH - KINH DOANH - VĂN PHÒNG SIÊU ĐỈNH CAO

Vị trí thuộc vị trí víp Phân Lô Ngoại Giao 2 ô tô tránh, ngõ thông các ngả cách mặt phố 20m.

+ Nhà 7 tầng mới, tháng máy, hiện đại, chủ tâm huyết có thuê thiết kế bản vẽ, hoàn công căn nhà, trước nhà ô tô tránh, mặt ngõ rất thoáng. Thiết kế hiện đại để ở hay kinh doanh đều tuyệt đẹp. DT 70m.

- Tầng 1 : Thông sàn, thang máy vù vù, thang bộ.

- Tầng 2,3,4,5,6 : 2 phòng ngủ thiết kế tiểu PENHOUSE + WC.

- Tầng 7 : Phòng thời, Sân phơi.

+ Phù hợp đa dạng hình thức kinh doanh cao cấp văn phòng đại diện, homestay cao cấp limit khách thuê, SPA…

+ Sổ đỏ rất đẹp, vuông A4. Sẵn sàng giao dịch.

Giá 12 tỷ. Có Thương Lượng.

Xem nhà LH: e Nhung 0974228117",,,"7","1",,,,,,,,,
